"File Name","Image Agent Name#1","Image Agent Type#1","Image Agent Role#1","Image Title#1","Image Title Type#1","Image Description#1","Subject Term#1","Subject Type#1","Subject Vocab#1","Subject Refid#1","Subject Term#2","Subject Type#2","Subject Vocab#2","Subject Refid#2","Location Name 1#1","Location Type 1#1","Location Vocab 1#1","Location Refid 1#1","Location Extent 1#1","Location Name 2#1","Location Type 2#1","Location Vocab 2#1","Location Refid 2#1","Location Extent 2#1","Location Name 3#1","Location Type 3#1","Location Vocab 3#1","Location Refid 3#1","Location Extent 3#1","Location Name 4#1","Location Type 4#1","Location Vocab 4#1","Location Refid 4#1","Location Extent 4#1","Location Name 5#1","Location Type 5#1","Location Vocab 5#1","Location Refid 5#1","Location Extent 5#1","Collection Name#1","Work Repository Holding Institution#1","Image Rights#1","Image Measurement#1","Image Measurement Type#1","Image Measurement Unit#1","Image Date#1","Image Date Type#1","Image Work Type#1","Image Work Type Vocab#1","Image Work Type Refid#1","Work Agent Name#1","Work Agent Name Vocab#1","Work Agent Name Refid#1","Work Agent Name Type#1","Work Agent Role#1","Work Agent Role Vocab#1","Work Agent Role Refid#1","Work Title#1","Work Title Type#1","Creation Date#1","View Date#1","Creation Date#2","View Date#2","Material#1","Material Type#1","Material Vocab#1","Material Refid#1","Technique#1","Technique Vocab#1","Technique Refid#1","Work Type#1","Work Type Vocab#1","Work Type Refid#1","Relation Type#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"mac_03061.tif","Rojas-Sanders, Alex","personal","scanning technician","Abbey farm house in the village of Charlton Adam (Somerset, England)","generalView","Two views (from the N.W. & S.E.) in pencil of the abbey farm house in the village of Charlton Adam (Somerset, England)","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","England","geographic","lcsh","n 82068148","nation","Somerset (England)","geographic","lcsh","n 80131990","administrative subdivision","Charlton Adam (England)","geographic","lcsh","nb2008000989","inhabited place","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","143,113,128","fileSize","bytes","2007-06-22","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Abbey Farm House. Charlton Adam","creator","1887-07-30","1887-07-30","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","196429","4779","mac_03061.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~196429~111049"
"mac_u01010.tif","Rojas-Sanders, Alex","personal","scanning technician","Aberdour Castle","generalView","Pencil drawing of Aberdour Castle, used as a dairy, Aberdour, Scotland","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Scotland","geographic","lcsh","n 79123936","nation","Fife (Scotland)","geographic","lcsh","n 81083048","administrative subdivision","Aberdour (Scotland)","geographic","lcsh","n 88238027","inhabited place","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","148,086,536","fileSize","bytes","2007-05-18","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Aberdour castle. Used as a dairy","creator","1883-08-27","1883-08-27","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","195097","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~195097~"
"mac_u02007.tif","Rojas-Sanders, Alex","personal","scanning technician","Almshouse at Bruton","generalView","Pencil drawing of almshouse exterior at Bruton, Somerset, England","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","England","geographic","lcsh","n 82068148","nation","Bruton (England)","geographic","lcsh","n 88238071","inhabited place","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","43,926,488","fileSize","bytes","2007-06-07","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","The Almshouse. Bruton","creator","1887-07-06","1887-07-06","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","195943","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~195943~"
"mac_05074.tif","Oliver, Daniel","personal","scanning technician","Altar at St. Mark's Basilica","generalView","Watercolor of altar at St. Mark's Basilica in Venice, Italy","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Italy","geographic","lcsh","n 79021783","nation","Venice (Italy)","geographic","lcsh","n 79018142","inhabited place","Basilica di San Marco (Venice, Italy","corporate","naf","n 50055395","place of worship","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","139,861,120","fileSize","bytes","2007-10-11","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Altar. St. Mark's","creator","","1888","","","watercolor (paint)","medium","aat","300015045","painting (image-making)","aat","300054216","watercolors (paintings)","aat","300078925","relatedTo","198049","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~198049~"
"mac_05052.tif","Oliver, Daniel","personal","scanning technician","Angel figure at Camposanto, Pisa","generalView","Watercolor of angel figure at Camposanto (monumental cemetary) in Pisa, Italy","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Italy","geographic","lcsh","n 79021783","nation","Pisa (Italy)","geographic","lcsh","n 79034879","inhabited place","Campo santo di Pisa","corporate","naf","n 84127025","cultural institution","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","107,608,984","fileSize","bytes","2007-10-18","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Campo Santo [Camposanto]. Pisa","creator","","1886","","","watercolor (paint)","medium","aat","300015045","painting (image-making)","aat","300054196","watercolors (paintings)","aat","300078925","relatedTo","198247","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~198247~"
"mac_05046.tif","Oliver, Daniel","personal","scanning technician","Angel figure in the Opera del Duomo","generalView","Pencil drawing of angel figure at the Opera del Duomo in Siena, Italy","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Italy","geographic","lcsh","n 79021783","nation","Siena (Italy)","geographic","lcsh","n 79013822","inhabited place","Opera della Metropolitana di Siena","corporate","naf","nr 91002678","cultural institution","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","143,395,616","fileSize","bytes","2007-10-04","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Figure in the Opera del Duomo. Siena","creator","1886-07-23","1886-07-23","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","197815","4779","mac_05046.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~197815~111108"
"mac_04001.tif","Oliver, Daniel","personal","scanning technician","Angel on the Stuart Monument at St. Peter's Church","generalView","Angel figure on the Stuart Monument at St. Peter's Basilica, Rome, Italy","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Italy","geographic","lcsh","n 79021783","nation","Rome (Italy)","geographic","lcsh","n 79018704","inhabited place","Vatican City","geographic","lcsh","n 80053295","religious complex","Basilica di San Pietro in Vaticano","corporate","naf","n 81013646","place of worship","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","143,892,176","fileSize","bytes","2007-09-27","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","The Stuart Monument. St. Peter's Ch[urch] Rome","creator","1886-05-08","1886-05-08","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","197563","4779","mac_04001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~197563~111057"
"mac_05018.tif","Oliver, Daniel","personal","scanning technician","Arcade at Certosa di Pavia","generalView","Watercolor of arcade in the Great Cloister at the Certosa di Pavia in Pavia, Italy","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Italy","geographic","lcsh","n 79021783","nation","Pavia (Italy)","geographic","lcsh","n 79039984","inhabited place","Certosa di Pavia","corporate","naf","n 87904393","religious complex","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","177,913,688","fileSize","bytes","2007-10-11","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Certosa of Pavia. Arcade in Great Cloister. [Certosa di Pavia]","creator","","1888","","","watercolor (paint)","medium","aat","300015045","painting (image-making)","aat","300054216","watercolors (paintings)","aat","300078925","relatedTo","197887","4779","mac_05018.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~197887~111096"
"mac_01010.tif","Rojas-Sanders, Alex","personal","scanning technician","Arcade of Melrose Abbey","generalView","Pencil drawing of floral architectural element of arcade terminal wall in cloisters, at Melrose Abbey, Melrose, Roxburghshire, Scotland","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Scotland","geographic","lcsh","n 79123936","nation","Melrose (Scotland)","geographic","lcsh","n 81123472","inhabited place","Melrose Abbey","corporate","naf","n 81128300","religious complex","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","137,872,948","fileSize","bytes","2007-05-17","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Melrose Abbey. Terminal Wall Arcade, Clositers","creator","1884-07-29","1884-07-29","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","194809","4779","mac_01010.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~194809~110953"
"mac_u01015a.tif","Rojas-Sanders, Alex","personal","scanning technician","Architectural design from Monument of Count de Borgnival","generalView","Pencil drawing of archicetural design from Monument of the Count de Borgnival of Begium, the detail of stone carving and overview of portions of the monument, both side of the paper include sketches, Breda, Netherlands","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Netherlands","geographic","lcsh","n 78085423","nation","Breda (Netherlands)","geographic","lcsh","n 80131793","inhabited place","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","305,609,728","fileSize","bytes","2007-05-24","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","[Pencil drawing of architectural design from Monument of the Count de Borgnival of Belgium]","creator","","1885-01?","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","197851","4779","mac_u01015a.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~197851~111286"
"mac_u01026.tif","Rojas-Sanders, Alex","personal","scanning technician","Architectural design, possibly from Monument of the Count de Borgnival of Belgium","generalView","Pencil drawing of archiectural design, possibly from the Monument of the Count de Borgnival of Belgium, Breda, Netherlands","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","","","","","","","","","","","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","282,943,488","fileSize","bytes","2007-05-24","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","[Pencil drawing of archiectural design from Monument of the Count de Borgnival of Belgium]","creator","","","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","199759","4779","mac_u01026.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~199759~111288"
"mac_u06011.tif","Oliver, Daniel","personal","scanning technician","Argyll's Lodging Stirling","generalView","Watercolor portrait of Argyll Ludging (Argyll's Lodging) in Stirling","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Scotland","geographic","lcsh","n 79123936","nation","Stirling (Scotland : County)","geographic","lcsh","n 2004022511","administrative subdivision","Stirling (Scotland)","geographic","lcsh","no2008009928","inhabited place","Argyll's Lodging (Stirling, Scotland)","geographic","naf","sh 00010151","residential structure","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","94,464,800","fileSize","bytes","2007-10-24","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Argyle House Stirling","creator","1880-09","1880-09","","","watercolor (paint)","medium","aat","300015045","painting (image-making)","aat","300054216","watercolors (paintings)","aat","300078925","relatedTo","198697","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~198697~"
"mac_05027.tif","Rojas-Sanders, Alex","personal","scanning technician","Armors from Monument of the Count de Borgnival","generalView","Pencil drawing of armors from Monument of the Count de Borgnival, 16th century Flemish, Breda, Netherlands","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Netherlands","geographic","lcsh","n 78085423","nation","Breda (Netherlands)","geographic","lcsh","n 80131793","inhabited place","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","143,114,872","fileSize","bytes","2007-05-18","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","From the Monument of Count de Borgnival. Flemish 16th century","creator","1885-01","1880-01","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","195025","4779","mac_05027.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~195025~111099"
"mac_02003.tif","Rojas-Sanders, Alex","personal","scanning technician","Back of Cloister, Wells Cathedral","generalView","Watercolor of back of cloister wall at Wells Cathedral","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","England","geographic","lcsh","n 82068148","nation","Somerset (England)","geographic","lcsh","n 80131990","administrative subdivision","Wells (England)","geographic","lcsh","n 78094263","inhabited place","Wells Cathedral","corporate","naf","n 50004995","place of worship","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","152,082,296","fileSize","bytes","2007-06-01","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Back of Cloister, Wells Cathedral","creator","","1887","","","watercolor (paint)","medium","aat","300015045","painting (image-making)","aat","300054216","watercolors (paintings)","aat","300078925","relatedTo","195619","4779","mac_02003.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~195619~110983"
"mac_03046.tif","Rojas-Sanders, Alex","personal","scanning technician","Bay window in the Great Hall of Hampton Court","generalView","Pencil drawing of bay window in the Great Hall of Hampton Court","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","England","geographic","lcsh","n 82068148","nation","Richmond upon Thames (London, England)","geographic","lcsh","n 81019317","inhabited place","Hampton Court (Richmond upon Thames, London, England)","corporate","naf","sh 85058594","cultural institution","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","144,325,016","fileSize","bytes","2007-08-02","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Bay Window, Great Hall, Hampton Court","creator","1884-06-14","1884-06-14","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","196807","4779","mac_03046.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~196807~111037"
"mac_01019b.tif","Oliver, Daniel","personal","scanning technician","Belfry at St. Moritz","generalView","Watercolored sketch of the belfry at St. Moritz, Switzerland","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Switzerland","geographic","lcsh","n 79062978","nation","Saint Moritz (Switzerland)","geographic","lcsh","n 82108024","inhabited place","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","40,487,596","fileSize","bytes","2008-06-30","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Belfry, St. Moritz","creator","","1891","","","watercolor (paint)","medium","aat","300015045","painting (image-making)","aat","300054216","watercolors (paintings)","aat","300078925","relatedTo","199885","4779","mac_01019b.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~199885~110964"
"mac_02017.tif","Rojas-Sanders, Alex","personal","scanning technician","Bell tower of New College, Oxford","generalView","Pencil drawing of bell tower at New College, Oxford","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","England","geographic","lcsh","n 82068148","nation","Oxfordshire (England)","geographic","lcsh","n 81006934","administrative subdivision","Oxford (England)","geographic","lcsh","n 79065853","inhabited place","University of Oxford","corporate","naf","n 79095521","educational institution","New College (University of Oxford)","corporate","naf","n 83043748","educational institution","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","142,497,748","fileSize","bytes","2007-06-14","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Bell Tower. New College Oxford","creator","1885-08-03","1885-08-03","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","196177","4779","mac_02017.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~196177~110995"
"mac_05048.tif","Oliver, Daniel","personal","scanning technician","Bench at Casino de Nobili","generalView","Pencil drawing of marble bench at Casino de Nobili in Siena, Italy","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Italy","geographic","lcsh","n 79021783","nation","Siena (Italy)","geographic","lcsh","n 79013822","inhabited place","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","144,020,180","fileSize","bytes","2007-10-11","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Marble bench at the Casino de Nobili. Siena","creator","1886-08-02","1886-08-02","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","198013","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~198013~"
"mac_05050.tif","Oliver, Daniel","personal","scanning technician","Bench at Casino di Nobili","generalView","Watercolor of marble bench with figure at Casino di Nobili in Siena, Italy","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Italy","geographic","lcsh","n 79021783","nation","Siena (Italy)","geographic","lcsh","n 79013822","inhabited place","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","151,097,120","fileSize","bytes","2007-10-18","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Marble bench at the Casino di Nobili. Siena","creator","1886-07-03","1886-07-03","","","watercolor (paint)","medium","aat","300015045","painting (image-making)","aat","300054216","watercolors (paintings)","aat","300078925","relatedTo","198229","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~198229~"
"mac_u01011.tif","Rojas-Sanders, Alex","personal","scanning technician","Bird and floral design from Monument of the Count de Borgnival of Belgium","generalView","Pencil drawing of bird and floral design from Monument of the Count de Borgnival of Belgium, Breda, Netherlands","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Netherlands","geographic","lcsh","n 78085423","nation","Breda (Netherlands)","geographic","lcsh","n 80131793","inhabited place","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","110,249,476","fileSize","bytes","2007-05-24","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","[Bird and floral design from Monument of the Count de Borgnival of Belgium]","creator","","1885-01?","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","195133","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~195133~"
