File Name,Image Agent Name#1,Image Agent Type#1,Image Agent Role#1,Image Title#1,Image Title Type#1,Image Description#1,Subject Term#1,Subject Type#1,Subject Vocab#1,Subject Refid#1,Subject Term#2,Subject Type#2,Subject Vocab#2,Subject Refid#2,Location Name 1#1,Location Type 1#1,Location Vocab 1#1,Location Refid 1#1,Location Extent 1#1,Collection Name#1,Work Repository Holding Institution#1,Image Rights#1,Image Measurement#1,Image Measurement Type#1,Image Measurement Unit#1,Image Date#1,Image Date Type#1,Image Work Type#1,Image Work Type Vocab#1,Image Work Type Refid#1,Work Agent Name#1,Work Agent Name Vocab#1,Work Agent Name Refid#1,Work Agent Name Type#1,Work Agent Role#1,Work Agent Role Vocab#1,Work Agent Role Refid#1,Work Title#1,Work Title Type#1,Creation Date#1,View Date#1,Material#1,Material Type#1,Material Vocab#1,Material Refid#1,Technique#1,Technique Vocab#1,Technique Refid#1,Work Type#1,Work Type Vocab#1,Work Type Refid#1,Relation Type#1,Identifier ARK#1,Identifier LUNA
mac_01002a.tif,"Rojas-Sanders, Alex",personal,scanning technician,House at Dysart,generalView,"Pencil drawing of a house in Dysart, Scotland.",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Dysart (Fife, Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n88278791,inhabited place,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","57,209,460",fileSize,bytes,2007-05-18,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,At Dyfont,creator,1883-08-29,1883-08-29,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/323s0147g4q5,
mac_01002b.tif,"Rojas-Sanders, Alex",personal,scanning technician,Pitteadie Castle,generalView,Watercolored sketch of Pitteadie Castle ruins at Fifeshire,architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Fife (Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n81083048,second-order administrative division,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","56,831,784",fileSize,bytes,2007-05-18,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,Pitteadie Castle,creator,1883-08-28,1883-08-28,watercolor (paint),medium,aat,http://vocab.getty.edu/page/aat/300015045,painting (image-making),aat,http://vocab.getty.edu/page/aat/300054216,watercolors (paintings),aat,http://vocab.getty.edu/page/aat/300078925,relatedTo,https://ark.colorado.edu/ark:/47540/329f2q8988mq,
mac_01003.tif,"Rojas-Sanders, Alex",personal,scanning technician,Tower of Collegiate Church at St. Andrew's,generalView,"Pencil drawing of the Collegiate Church Tower at St. Andrew's, Scotland.",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"University of St. Andrews (Saint Andrews, Fife, Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n80036687,college,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","145,197,432",fileSize,bytes,2007-05-17,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,Tower of Collegiate Church. St. Andrew's.,creator,1883-08-31,1883-08-31,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/2h1q7n69p6w9,
mac_01004.tif,"Rojas-Sanders, Alex",personal,scanning technician,Jedburgh Abbey,generalView,"Pencil sketch of two bays of the nave at Jedburgh Abbey, in Jedburgh, Roxburghshire, Scotland.",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Jedburgh Abbey (Scottish Borders, Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n97012578,ruins,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","144,810,624",fileSize,bytes,2007-05-17,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,Jedburgh Abbey. 2 Bays of nave.,creator,1884-07-22,1884-07-22,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/mj7q2528w362,
mac_01005.tif,"Rojas-Sanders, Alex",personal,scanning technician,"Dryburgh Abbey, exterior of St. Mary's Aisle",generalView,"Pencil sketch of the exterior of St. Mary's Aisle at Dryburgh Abbey, Dryburgh, Scotland.",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Dryburgh Abbey (Scottish Borders, Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n85077808,ruins,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","143,848,340",fileSize,bytes,2007-05-17,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,Dryburgh Abbey. Exterior of St. Mary's Aisle.,creator,1884-07-26,1884-07-26,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/903p6h5455rk,
mac_01006.tif,"Rojas-Sanders, Alex",personal,scanning technician,Dunblane Cathedral stalls,generalView,"Pencil sketch of stalls in Dunblane Cathedral, Dunblane, Scotland. (Note on back: ""Chosen by A.A.S.B. [Architectural Association Sketch Book] Committee 16/2/85 for 'Ink-[illegible],' after the mouldings & fig. dimensions (& writing) have been sharpened up or inked in so as to come out clearly."")",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Dunblane Cathedral (Dunblane, Stirling, Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/nr96007269,church,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","137,965,252",fileSize,bytes,2007-04-26,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,Stalls in Dunblane Cathedral,creator,Undated,Undated,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/217t6x74d2kp,
mac_01007.tif,"Rojas-Sanders, Alex",personal,scanning technician,Dunblane Cathedral,generalView,"Image of a page from the November 21, 1885 issue of The Builder magazine. Depicts a photograph of a (probable) pencil sketch of Dunblane Cathedral as drawn by Thomas MacLaren. Caption reads: ""Dunblane Cathedral. Drawn by Mr. T. MacLaren. Pugin Travelling Studentship, 1885. Medal of Merit. Ink Photo, Sprague & Co., London.""",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Dunblane Cathedral (Dunblane, Stirling, Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/nr96007269,cathedral,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","158,754,244",fileSize,bytes,2007-05-24,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,[Dunblane Cathedral],creator,1885-11-21,1885-11-21,printing ink,medium,aat,http://vocab.getty.edu/page/aat/300187371,printing,aat,http://vocab.getty.edu/page/aat/300199635,tear sheets,aat,http://vocab.getty.edu/page/aat/300112003,relatedTo,https://ark.colorado.edu/ark:/47540/xp9b6824t5hb,
mac_01008.tif,"Rojas-Sanders, Alex",personal,scanning technician,Dryburgh Abbey. St. Mary's Aisle,generalView,"Pencil drawing of St. Mary's Aisle at Dryburgh Abbey. (Note on the back: ""Chosen for Transfer by {A.A.S.B.} COMMITTEE. 16/2/85"")",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Dryburgh Abbey (Scottish Borders, Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n85077808,ruins,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","144,419,636",fileSize,bytes,2007-05-17,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,Dryburgh Abbey. St. Mary's Aisle,creator,Undated,1884-07-25,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/8m2g324451pk,
mac_01009.tif,"Rojas-Sanders, Alex",personal,scanning technician,Earlshall at Leuchars,generalView,"Pencil drawing of Earlshall Castle at Leuchars, Scotland",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Leuchars (Fife, Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/nr2003029264,inhabited place,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","150,694,460",fileSize,bytes,2007-05-17,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,"Earls Hall, Leuchars",creator,1883-09-01,1883-09-01,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/c79q6z84j8b7,
mac_01010.tif,"Rojas-Sanders, Alex",personal,scanning technician,Arcade of Melrose Abbey,generalView,"Pencil drawing of floral architectural element of arcade terminal wall in cloisters, at Melrose Abbey, Melrose, Roxburghshire, Scotland",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Melrose Abbey (Scottish Borders, Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n81128300,ruins,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","137,872,948",fileSize,bytes,2007-05-17,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,"Melrose Abbey. Terminal Wall Arcade, Clositers",creator,1884-07-29,1884-07-29,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/pm753z8651z4,
mac_01011a.tif,"Rojas-Sanders, Alex",personal,scanning technician,Pulpit of Donatello of Prato Cathedral,generalView,"Pencil drawing of part of architectural design by Donatello on external pulpit of Prato cathedral at Prato near Florence, Tuscany, Italy",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Duomo di Prato (Prato, Prato province, Tuscany, Italy, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n80106872,cathedral,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","48,533,628",fileSize,bytes,2007-05-17,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,"Part of pulpit outside Cathedral at Prato near Florence by Donatello, 1435",creator,Undated,1886,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/055x6j08c7vw,
mac_01011b.tif,"Rojas-Sanders, Alex",personal,scanning technician,Staircase of Linlithgow Palace,generalView,"Pencil drawing of the staircase of Linlithgow Palace, Scotland",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Linlithgow Palace (Linlithgow, West Lothian, Scotland, United Kingdom, Europe)",geographic,lcsh,http://id.loc.gov/authorities/subjects/sh2004010538,ruins,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","48,934,968",fileSize,bytes,2007-05-17,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,Staircase. Linlithgow Palace,creator,Undated,Undated,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/w5502676h6r4,
mac_01012.tif,"Rojas-Sanders, Alex",personal,scanning technician,Old tower of Parish Church,generalView,"Pencil drawing of the old tower of parish church, Pittenweem, Scotland",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Pittenweem (Fife, Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n88187258,inhabited place,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","143,660,908",fileSize,bytes,2007-05-11,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,Old tower Parish Church. Pittenweem,creator,1883-08-30,1883-08-30,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/qx426v14k6b3,
mac_01013.tif,"Rojas-Sanders, Alex",personal,scanning technician,Church at St. Ninians,generalView,"Pencil drawing of an old church at St. Ninians, Stirling, Scotland",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Saint Ninians (Stirling, Scotland, United Kingdom, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/nr2003022216,inhabited place,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","144,668,524",fileSize,bytes,2007-05-11,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,Old Church. St. Ninian's,creator,1883-08-29,1883-08-29,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/8h3j6g11n1jz,
mac_01015a.tif,"Rojas-Sanders, Alex",personal,scanning technician,Window details of building at Dijon,generalView,"Pencil drawing of architectural element of the window of building at Dijon, France",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Dijon (Burgundy, France, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n79065184,inhabited place,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","36,462,088",fileSize,bytes,2007-05-01,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,At Dijon,creator,1886-03-20,1886-03-20,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/787g1k69q37n,
mac_01015b.tif,"Rojas-Sanders, Alex",personal,scanning technician,Spire of St. Jean,generalView,"Pencil drawing of the Spire of St. Jean at Dijon, France",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Dijon (Burgundy, France, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n79065184,inhabited place,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","35,401,880",fileSize,bytes,2007-05-01,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,"Spire of St. Jean, Dijon",creator,1886-03-20,1886-03-20,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/mk6n8f27m62m,
mac_01015c.tif,"Rojas-Sanders, Alex",personal,scanning technician,Hotel de Ville at Dijon,generalView,"Pencil drawing of the hotel de Ville at Dijon, France",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Dijon (Burgundy, France, Europe)",geographic,lcnaf,http://id.loc.gov/authorities/names/n79065184,inhabited place,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","36,357,872",fileSize,bytes,2007-05-01,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,"At the Hotel de Ville, Dijon",creator,1886-03-20,1886-03-20,graphite (mineral),medium,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300015012,drawing (image-making),aat,http://vocab.getty.edu/page/aat/300054196,drawings (visual works),aat,http://vocab.getty.edu/page/aat/300033973,relatedTo,https://ark.colorado.edu/ark:/47540/jb1z1z14754b,
mac_01017.tif,"Rojas-Sanders, Alex",personal,scanning technician,Landscape of Cassacia village and mountain in Val Bregaglia,generalView,"Watercolored sketch of the landscape of Cassacia village and mountain, Val Bregaglia, Switzerland",architectural drawings (visual works),descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300034787,grand tours,descriptiveTopic,aat,http://vocab.getty.edu/page/aat/300054796,"Bregaglia Valley (Valais, Switzerland, Europe)",geographic,lcsh,http://id.loc.gov/authorities/subjects/sh85016720,valley,Thomas MacLaren Collection of Architectural Drawings,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. http://rightsstatements.org/vocab/NoC-US/1.0/","145,371,380",fileSize,bytes,2007-05-07,other,digital images,aat,http://vocab.getty.edu/page/aat/300215302,"MacLaren, Thomas, 1863-1928",lcnaf,http://id.loc.gov/authorities/names/no2007052477,personal,Artist,lcr,https://id.loc.gov/vocabulary/relators/art.html,Cassacia. Val Bregaglia,creator,Undated,1891,watercolor (paint),medium,aat,http://vocab.getty.edu/page/aat/300015045,painting (image-making),aat,http://vocab.getty.edu/page/aat/300054216,watercolors (paintings),aat,http://vocab.getty.edu/page/aat/300078925,relatedTo,https://ark.colorado.edu/ark:/47540/qw7v4h9141f6,
